Id,Northing,Easting,Elevation,Temp,Type
1,247943,2354197,4157,0,Production
2,247944,2354196,3957,0,Production
3,247946,2354196,3757,0,Production
4,247948,2354197,3657,0,Production
5,247949,2354198,3557,0,Production
6,247953,2354201,3357,0,Production
7,247958,2354205,3157,0,Production
8,247961,2354211,3000,0,Production
9,247962,2354213,2957,0,Production
10,247966,2354222,2758,0,Production
11,247968,2354227,2658,0,Production
12,247970,2354232,2558,0,Production
13,247975,2354241,2358,0,Production
14,247982,2354249,2158,0,Production
15,247986,2354255,2000,0,Production
16,247987,2354256,1959,0,Production
17,247990,2354261,1759,0,Production
18,247992,2354264,1659,0,Production
19,247993,2354266,1559,0,Production
20,247994,2354270,1359,0,Production
21,247995,2354272,1159,0,Production
22,247994,2354273,1000,0,Production
23,247993,2354273,959,0,Production
24,247990,2354272,759,0,Production
25,247989,2354271,659,0,Production
26,247983,2354263,374,0,Production
27,247978,2354255,164,0,Production
28,247973,2354248,0,520,Production
29,247972,2354246,-55,0,Production
30,247965,2354238,-275,0,Production
31,247963,2354237,-340,0,Production
32,247957,2354233,-475,0,Production
33,247953,2354230,-556,0,Production
34,247940,2354219,-802,0,Production
35,247939,2354218,-812,0,Production
36,247938,2354216,-839,0,Production
37,247937,2354214,-863,0,Production
38,247929,2354204,-998,570,Production
39,247925,2354200,-1081,0,Production
40,247918,2354194,-1193,0,Production
41,247913,2354189,-1270,0,Production
42,247908,2354186,-1337,0,Production
43,247883,2354164,-1640,0,Production
44,247873,2354155,-1751,0,Production
45,247870,2354152,-1783,0,Production
46,247865,2354148,-1834,0,Production
47,247857,2354140,-2000,610,Production
