Well,X,Y,Z,TD
22-16,2362707,254199,-3971,8100
24-8,2355517,257868,1796,2650
34A-20,2357577,247315,-2,4100
37B-17,2356842,250854,173,3800
47-8,2357054,255357,461,4000
47A-8RD,2356644,255915,723,3800
52-7,2353617,260228,389,3950
61-7,2354483,259310,2019,2160
61A-7,2354581,259895,1381,2900
63-7,2354152,258426,1796,2400
63A-7,2354202,257762,1124,3150
63B-7,2354549,257994,1472,2840
66-7,2352961,255531,812,3750
66A-7,2353049,257012,951,3600
72B-18,2354493,254074,659,3550
72C-18,2355059,253808,1104,3200
73-7,2354558,258304,2092,2150
73-19,2354216,247938,-839,5000
73A-18,2354502,253123,1056,3050
74-19,2354495,247306,-1346,5600
76A-7,2354103,256590,652,3700
76B-7,2354487,257072,2275,2150
78-7,2353379,254017,-785,5600
81-18,2355022,254218,1477,2950
81A-18RD,2355319,254673,1659,2700
87-7,2355299,255720,1348,3100
87A-7,2354001,255542,625,3950
