X,Y,Z
-117.7647414,36.02309885,1110.0816
-117.7647414,36.0230961,1065.8856
-117.7647415,36.02309061,1014.3744
-117.7647382,36.02308234,966.8256
-117.7647349,36.02307955,929.64
-117.7647315,36.02307952,914.4
-117.7647315,36.02307952,900.9888
-117.7647247,36.02308219,872.6424
-117.7647213,36.02308491,843.9912
-117.7647213,36.02308491,816.2544
-117.7647145,36.02308758,788.2128
-117.7647077,36.02308751,759.8664
-117.764701,36.02308744,731.52
-117.7646943,36.02308188,703.1736
-117.7646944,36.02307638,664.7688
-117.7646912,36.02306536,626.6688
-117.7646879,36.02305983,609.6
-117.764688,36.02305434,588.5688
-117.7646881,36.02304335,551.3832
-117.7646918,36.02302691,513.588
-117.7646919,36.02301867,493.1664
-117.764692,36.02301043,474.2688
-117.7646922,36.02299944,454.7616
-117.7646957,36.02299398,445.3128
-117.7646993,36.02298028,426.4152
-117.7647096,36.02296665,407.2128
-117.7647166,36.02295574,388.62
-117.7647373,36.02293123,359.9688
-117.7647511,36.02291214,341.6808
-117.7647649,36.02289306,324.3072
-117.7647788,36.02286848,304.8
-117.7647927,36.02284665,288.6456
-117.7647962,36.02283844,283.1592
-117.7648101,36.02281386,267.0048
-117.7648309,36.02278111,246.5832
-117.7648551,36.02275115,228.2952
-117.7648826,36.02272121,209.3976
-117.7649169,36.0226941,190.8048
-117.7649544,36.02266977,172.212
-117.7649954,36.02264547,153.6192
-117.7650363,36.02262941,135.0264
-117.7650567,36.02262139,125.8824
-117.7651042,36.02261089,107.2896
-117.7651483,36.02260037,89.3064
-117.7651754,36.02259515,80.1624
-117.7651992,36.02259265,71.0184
-117.7652263,36.02259019,61.2648
-117.76525,36.02258769,52.1208
-117.7652771,36.02258523,43.2816
-117.7653244,36.02258297,26.5176
-117.7654091,36.02257562,0
-117.7654091,36.02257562,-0.6096
-117.765504,36.02256562,-28.0416
-117.7655989,36.02254738,-54.864
-117.7656261,36.02254217,-62.1792
-117.7656702,36.02253164,-74.3712
-117.7657075,36.02252654,-83.5152
-117.765765,36.02252164,-98.7552
-117.76587,36.0225145,-124.3584
-117.7660256,36.02251063,-158.8008
-117.7661914,36.02250686,-194.4624
-117.7663503,36.02250578,-229.5144
-117.7665127,36.02250472,-265.4808
-117.7666683,36.02250085,-300.5328
-117.7666886,36.02250106,-304.8
-117.7668239,36.02249698,-334.9752
-117.7669897,36.02249596,-371.2464
-117.7671081,36.0224917,-396.5448
-117.7672637,36.02249058,-431.292
-117.7674362,36.02248688,-470.0016
-117.7677542,36.02248196,-541.6296
-117.7679131,36.02248087,-577.9008
-117.7680451,36.022474,-609.6
-117.7680756,36.02247432,-616.6104
-117.7682313,36.0224622,-653.1864
-117.7683836,36.0224528,-689.4576
-117.7685022,36.02244305,-717.804
-117.7686545,36.0224309,-753.7704
-117.7688136,36.02242157,-790.0416
-117.7688983,36.02241421,-807.72
-117.7689762,36.02240678,-824.1792
-117.7690642,36.02239945,-841.8576
-117.7691861,36.02238973,-867.156
-117.7691929,36.02238706,-868.68
-117.7693216,36.02237466,-895.5024
-117.7694164,36.02236741,-914.4
-117.7694503,36.02236227,-922.02
-117.7695723,36.0223498,-947.6232
-117.7696977,36.02233462,-974.7504
-117.7698196,36.02231941,-1001.5728
-117.7699484,36.02230152,-1030.8336
-117.7700569,36.02228616,-1055.8272
-117.7701755,36.02227091,-1082.6496
-117.7703314,36.02224781,-1118.3112
-117.7704128,36.02223492,-1136.2944
-117.7704636,36.02222721,-1148.4864
-117.770623,36.02219865,-1184.148
-117.7707824,36.02217009,-1219.2
-117.7707824,36.02217009,-1219.5048
-117.7709621,36.02213899,-1256.9952
-117.7710944,36.02211564,-1282.9032
-117.7711487,36.02210521,-1293.5712
-117.7712199,36.02208947,-1307.2872
-117.7713557,36.02206066,-1333.8048
-117.7714982,36.02203192,-1360.932
-117.7716305,36.02200583,-1387.1448
-117.7719121,36.02194557,-1444.752
-117.7720173,36.02192468,-1466.3928
-117.7721394,36.02189848,-1493.2152
-117.7722819,36.02186974,-1524
-117.772343,36.02185664,-1538.3256
-117.7726246,36.02179912,-1601.1144
-117.7728146,36.02175989,-1643.1768
-117.773181,36.02168402,-1721.8152
-117.7732895,36.02166317,-1745.2848
-117.7734728,36.02162387,-1780.3368
-117.7736492,36.02158724,-1812.9504
-117.773734,36.02157163,-1828.8
-117.7737442,36.02156899,-1830.9336
-117.7739206,36.02153236,-1865.6808
-117.7740495,36.02150623,-1892.1984
-117.7741785,36.02147734,-1918.716
