430043.20,3988139.70,1205.5
430043.20,3988139.70,1152.4
430043.20,3988139.70,1143.0
430042.90,3988139.71,1110.7
430042.60,3988140.02,1073.5
430042.60,3988140.02,1066.8
430042.29,3988140.03,1053.1
430042.00,3988140.34,1031.7
430041.09,3988140.66,990.6
430041.09,3988140.66,984.5
430040.49,3988141.28,936.7
430040.19,3988141.29,914.4
430040.19,3988141.59,900.7
430040.19,3988141.59,888.8
430039.89,3988141.90,841.2
430039.89,3988141.90,838.2
430039.59,3988141.91,812.6
430039.29,3988141.92,793.1
430038.97,3988141.62,762.0
430038.97,3988141.62,755.3
430038.97,3988141.31,748.3
430038.97,3988141.31,745.5
430039.27,3988141.31,736.1
430039.88,3988140.99,726.6
430042.60,3988140.32,686.4
430043.52,3988140.30,678.8
430045.95,3988139.95,651.1
430048.08,3988139.91,631.5
430050.22,3988140.17,609.6
430051.13,3988140.15,601.7
430051.44,3988140.14,598.9
430054.19,3988140.69,574.5
430057.86,3988141.23,545.6
430061.54,3988142.06,517.6
430064.92,3988143.52,489.2
430067.72,3988146.20,460.9
430068.97,3988148.01,445.3
430069.93,3988149.81,432.2
430071.88,3988155.87,393.8
430072.88,3988160.12,366.7
430073.59,3988164.67,338.6
430075.30,3988159.15,304.8
430073.10,3988170.78,302.4
430072.54,3988173.23,286.8
430072.56,3988173.84,283.2
430070.84,3988179.05,254.8
430068.20,3988183.98,228.0
430064.96,3988189.54,199.0
430061.40,3988194.49,171.6
430057.21,3988198.23,142.0
430045.20,3988206.71,69.2
430037.70,3988212.35,23.5
430034.10,3988215.17,0.0
430024.49,3988222.38,-60.7
430023.00,3988223.63,-70.1
430021.49,3988224.57,-79.6
430019.99,3988225.82,-89.6
430019.09,3988226.14,-93.9
430018.49,3988226.77,-99.1
430017.58,3988227.09,-103.6
430016.68,3988227.72,-108.5
430016.08,3988228.04,-113.1
430015.18,3988228.66,-118.3
430014.28,3988229.29,-122.8
430013.37,3988229.62,-127.7
430012.77,3988230.24,-132.3
430011.86,3988230.56,-137.5
430011.27,3988231.18,-141.7
430010.36,3988231.51,-145.7
430010.06,3988231.82,-148.7
430009.46,3988232.13,-151.8
430008.86,3988232.45,-155.4
430008.25,3988232.77,-158.2
430007.95,3988233.08,-161.2
430006.75,3988234.02,-169.2
430005.85,3988234.65,-174.0
430004.66,3988235.89,-183.8
430003.75,3988236.22,-188.4
430003.16,3988237.14,-193.2
430002.26,3988237.77,-197.8
430000.47,3988239.64,-209.4
429997.77,3988241.82,-227.1
429992.37,3988245.90,-259.1
429984.26,3988251.55,-304.8
429980.65,3988254.07,-324.9
429974.04,3988258.47,-358.4
429967.73,3988262.87,-388.0
429962.92,3988266.01,-409.0
429955.10,3988270.75,-442.9
429946.66,3988275.49,-480.1
429940.34,3988279.28,-509.3
429937.93,3988280.55,-521.5
429921.92,3988287.59,-609.6
429920.40,3988287.92,-619.4
429916.75,3988288.30,-642.8
429912.80,3988288.69,-670.6
429908.53,3988288.78,-698.9
429903.97,3988289.18,-727.3
429900.93,3988289.55,-745.5
429896.06,3988289.95,-774.2
429892.12,3988290.64,-802.2
429887.86,3988291.04,-830.6
429881.78,3988292.08,-872.0
429876.63,3988293.40,-907.4
429875.42,3988293.73,-914.4
429870.56,3988294.75,-945.2
429864.50,3988296.40,-983.6
429856.62,3988298.39,-1030.2
429849.35,3988300.67,-1077.5
429839.95,3988303.00,-1141.2
429838.44,3988303.64,-1152.8
429836.32,3988304.29,-1167.1
429835.71,3988304.31,-1170.7
429829.06,3988306.88,-1219.2
429826.94,3988307.54,-1234.1
429822.71,3988309.15,-1264.3
429798.30,3988308.13,-1378.9
429794.93,3988306.98,-1392.9
429793.40,3988306.71,-1398.1
429784.80,3988303.53,-1432.3
