Point,Northing,Easting,Elev_ft
1,247564.00,2356534.00,4049.00
2,247563.79,2356534.30,3549.00
3,247563.04,2356535.37,3504.02
4,247561.00,2356538.39,3411.09
5,247558.97,2356541.18,3318.16
6,247556.83,2356543.88,3225.22
7,247554.44,2356547.16,3132.31
8,247552.15,2356550.62,3049.41
9,247551.90,2356551.01,3040.42
10,247550.76,2356552.90,3000.49
11,247549.28,2356555.82,2947.59
12,247546.71,2356561.11,2854.77
13,247543.81,2356566.23,2761.96
14,247540.33,2356571.70,2669.18
15,247536.82,2356577.31,2577.42
16,247535.86,2356578.93,2550.49
17,247533.38,2356582.81,2484.65
18,247529.71,2356588.16,2391.88
19,247525.89,2356593.41,2299.1
20,247521.81,2356598.18,2206.31
21,247517.00,2356602.83,2113.56
22,247515.31,2356604.38,2082.64
23,247514.34,2356605.19,2064.68
24,247513.61,2356605.72,2051.72
25,247510.61,2356607.42,1999.83
26,247508.56,2356608.21,1964.9
27,247501.80,2356610.28,1845.11
28,247495.16,2356611.57,1721.29
29,247488.62,2356611.74,1596.46
30,247486.34,2356611.48,1552.52
31,247482.56,2356610.39,1477.63
32,247482.27,2356610.27,1471.63
33,247476.38,2356607.07,1348.82
34,247470.51,2356601.10,1225.1
35,247465.28,2356591.85,1100.55
36,247463.34,2356587.84,1053.76
37,247460.98,2356582.88,1000.04
38,247459.89,2356580.55,976.18
39,247454.05,2356569.09,853.86
40,247447.47,2356557.92,730.54
41,247443.67,2356551.76,665.94
42,247441.24,2356547.99,630.22
43,247438.74,2356544.48,599.52
44,247435.70,2356540.85,567.87
45,247432.17,2356537.50,536.25
46,247428.32,2356534.55,505.63
47,247423.88,2356531.56,474.08
48,247418.94,2356528.47,442.61
49,247413.38,2356525.06,411.29
50,247407.43,2356520.89,380.12
51,247400.73,2356515.71,346.16
52,247393.96,2356510.55,313.24
53,247388.56,2356506.63,288.12
54,247381.71,2356502.10,257.19
55,247374.87,2356497.91,226.21
56,247367.91,2356493.81,195.24
57,247348.34,2356482.51,117.46
58,247312.93,2356462.07,0.32
59,247303.06,2356456.37,-28.56
60,247260.01,2356432.50,-148.88
61,247249.89,2356427.05,-176.59
62,247229.39,2356415.53,-232.88
63,247197.40,2356396.69,-321.41
64,247178.90,2356385.44,-373.05
65,247164.76,2356376.69,-412.71
66,247129.11,2356357.33,-510.64
67,247106.96,2356346.88,-569.77
68,247098.25,2356342.68,-592.82
69,247068.28,2356327.39,-673.05
70,247024.99,2356305.33,-788.22
71,246979.65,2356282.72,-906.86
72,246944.24,2356264.06,-999.59
73,246934.81,2356258.88,-1024.35
74,246893.64,2356237.45,-1131.75
75,246837.85,2356211.43,-1279.44
76,246769.65,2356183.19,-1451.25
77,246718.42,2356164.54,-1568.16
78,246704.00,2356159.63,-1599.68
79,246681.51,2356152.19,-1647.09
80,246626.21,2356132.06,-1760.75
81,246516.26,2356088.75,-1988.97
82,246511.16,2356086.78,-1999.66
83,246465.51,2356067.73,-2092.28
84,246413.53,2356048.81,-2189.67
85,246398.41,2356045.18,-2216.49
86,246311.53,2356025.92,-2368.33
87,246296.27,2356021.83,-2395
88,246280.64,2356017.64,-2422.61
89,246251.29,2356008.95,-2475.37
90,246206.59,2355994.42,-2556.78
91,246148.93,2355976.25,-2660.44
92,246037.58,2355940.06,-2857.24
93,245980.73,2355921.59,-2954.31
94,245953.25,2355912.66,-2999.93
95,245946.61,2355910.51,-3010.9
