34-9TCH,,,,,

MD,Length,TVD,SSD,N-LAM E-LAM,
0,,,3930,0,0
250,250,250,3680,0,0
500,250,500,3430,0,0
750,250,750,3180,0,0
930,180,930,3000,0,0
1000,250,1000,2930,0,0
1250,250,1250,2680,0,0
1500,250,1500,2430,0,0
1750,250,1750,2180,0,0
1800,50,1800,2130,0,0
1930,130,1930,2000,0,0
1980,180,1980,1950,0,0
2000,20,2000,1930,0,0
2250,250,2250,1680,0,0
2500,250,2500,1430,0,0
2750,250,2750,1180,0,0
2820,70,2820,1110,0,0
2930,110,2930,1000,0,0
3000,180,3000,930,0,0
3250,250,3250,680,0,0
3500,250,3500,430,0,0
3750,250,3750,180,0,0
3789,39,3789,141,0,0
