Point,North,East,Elev_ft
1,257861.00 ,2362018.00 ,3955 
2,257861.17 ,2362017.66 ,3781 
3,257861.23 ,2362017.54 ,3750 
4,257861.43 ,2362017.12 ,3644 
5,257861.90 ,2362016.16 ,3522 
6,257862.03 ,2362015.89 ,3500 
7,257862.34 ,2362015.25 ,3455 
8,257862.94 ,2362014.02 ,3385 
9,257864.07 ,2362011.30 ,3250 
10,257864.21 ,2362010.88 ,3230 
11,257865.82 ,2362008.66 ,3073 
12,257866.44 ,2362008.20 ,3000 
13,257866.68 ,2362008.01 ,2955 
14,257866.80 ,2362007.91 ,2916 
15,257867.51 ,2362007.39 ,2760 
16,257867.59 ,2362007.34 ,2750 
17,257868.10 ,2362006.31 ,2666 
18,257867.68 ,2362005.43 ,2602 
19,257866.78 ,2362004.44 ,2500 
20,257866.62 ,2362004.19 ,2478 
21,257866.30 ,2362004.10 ,2455 
22,257866.19 ,2362004.20 ,2446 
23,257865.81 ,2362005.14 ,2415 
24,257865.40 ,2362006.78 ,2384 
25,257863.12 ,2362016.34 ,2252 
26,257862.59 ,2362018.50 ,2227 
27,257861.58 ,2362027.37 ,2136 
28,257862.08 ,2362033.76 ,2072 
29,257863.01 ,2362041.02 ,2000 
30,257863.32 ,2362043.76 ,1974 
31,257863.43 ,2362044.73 ,1965 
32,257864.65 ,2362054.00 ,1885 
33,257866.83 ,2362065.78 ,1790 
34,257869.97 ,2362077.93 ,1698 
35,257875.06 ,2362089.09 ,1605 
36,257883.73 ,2362098.06 ,1512 
37,257890.18 ,2362101.87 ,1461 
38,257896.36 ,2362104.64 ,1418 
39,257915.83 ,2362110.78 ,1292 
40,257930.08 ,2362114.07 ,1203 
41,257944.92 ,2362115.89 ,1111 
42,257927.33 ,2362121.56 ,1000 
43,257964.82 ,2362114.15 ,992 
44,257973.17 ,2362112.13 ,941 
45,257975.17 ,2362111.57 ,929 
46,257991.82 ,2362105.51 ,836 
47,258008.39 ,2362097.25 ,748 
48,258026.37 ,2362086.01 ,653 
49,258041.76 ,2362073.99 ,563 
50,258054.29 ,2362059.58 ,466 
51,258081.20 ,2362019.68 ,227 
52,258099.13 ,2361995.00 ,77 
53,258108.20 ,2361982.90 ,0 
54,258131.38 ,2361951.42 ,-199 
55,258134.96 ,2361946.39 ,-230 
56,258138.40 ,2361941.31 ,-261 
57,258141.90 ,2361935.91 ,-294 
58,258143.47 ,2361933.39 ,-308 
59,258145.13 ,2361930.55 ,-325 
60,258146.49 ,2361928.06 ,-340 
61,258148.05 ,2361925.22 ,-356 
62,258149.49 ,2361922.70 ,-371 
63,258151.15 ,2361919.85 ,-388 
64,258152.58 ,2361917.31 ,-403 
65,258154.19 ,2361914.41 ,-419 
66,258155.63 ,2361911.87 ,-434 
67,258157.27 ,2361909.01 ,-451 
68,258158.71 ,2361906.51 ,-465 
69,258159.97 ,2361904.34 ,-478 
70,258160.97 ,2361902.67 ,-488 
71,258161.97 ,2361901.01 ,-498 
72,258163.16 ,2361899.01 ,-510 
73,258164.17 ,2361897.38 ,-519 
74,258165.20 ,2361895.80 ,-529 
75,258167.92 ,2361891.84 ,-555 
76,258169.77 ,2361889.36 ,-571 
77,258173.54 ,2361884.66 ,-603 
78,258175.47 ,2361882.39 ,-618 
79,258177.80 ,2361879.75 ,-634 
80,258179.95 ,2361877.42 ,-649 
81,258185.53 ,2361871.35 ,-687 
82,258193.03 ,2361861.84 ,-745 
83,258205.65 ,2361843.83 ,-850 
84,258224.10 ,2361817.09 ,-1000 
85,258232.13 ,2361804.56 ,-1066 
86,258246.37 ,2361782.64 ,-1176 
87,258260.01 ,2361761.64 ,-1273 
88,258269.62 ,2361745.91 ,-1342 
89,258284.64 ,2361719.82 ,-1453 
90,258300.31 ,2361691.54 ,-1575 
91,258311.78 ,2361671.15 ,-1671 
92,258316.44 ,2361663.04 ,-1711 
93,258337.85 ,2361610.01 ,-2000 
94,258338.88 ,2361604.94 ,-2032 
95,258340.47 ,2361593.26 ,-2109 
96,258341.25 ,2361580.48 ,-2200 
97,258341.37 ,2361566.38 ,-2293 
98,258342.19 ,2361550.72 ,-2386 
99,258342.96 ,2361540.74 ,-2446 
100,258344.41 ,2361525.41 ,-2540 
101,258345.87 ,2361511.54 ,-2632 
102,258347.39 ,2361498.14 ,-2725 
103,258350.39 ,2361478.11 ,-2861 
104,258353.93 ,2361460.67 ,-2977 
105,258354.76 ,2361457.09 ,-3000 
106,258358.37 ,2361441.46 ,-3101 
107,258363.12 ,2361420.88 ,-3227 
108,258369.25 ,2361395.36 ,-3380 
109,258375.57 ,2361370.92 ,-3535 
110,258383.49 ,2361340.29 ,-3744 
111,258384.92 ,2361334.72 ,-3782 
112,258386.76 ,2361328.06 ,-3829 
113,258387.29 ,2361326.23 ,-3841 
114,258394.50 ,2361304.11 ,-4000 
115,258397.02 ,2361297.36 ,-4049 
116,258401.53 ,2361283.06 ,-4148 
117,258397.35 ,2361203.33 ,-4524 
118,258393.11 ,2361191.66 ,-4570 
119,258391.51 ,2361187.28 ,-4587 
120,258381.33 ,2361159.31 ,-4699 
