SSD,N-LAM,E-LAM
______,________,__________

3642,253474,2365562
3497,253473,2365562
3328,253471,2365562
3172,253468,2365563
3050,253467,2365564
3000,253467,2365565
2956,253467,2365565
2863,253468,2365567
2769,253469,2365568
2678,253469,2365568
2586,253470,2365570
2493,253470,2365572
2400,253470,2365574
2307,253468,2365576
2181,253466,2365576
2056,253462,2365577
2000,253460,2365578
1931,253458,2365578
1809,253454,2365578
1685,253448,2365577
1618,253445,2365577
1556,253442,2365577
1492,253438,2365577
1461,253436,2365576
1399,253431,2365575
1336,253426,2365572
1275,253422,2365570
1181,253413,2365564
1121,253406,2365560
1064,253399,2365556
1000,253390,2365552
947,253382,2365548
929,253379,2365547
876,253370,2365543
809,253358,2365537
749,253347,2365530
687,253336,2365522
626,253326,2365512
565,253317,2365501
504,253308,2365489
443,253302,2365477
413,253299,2365471
352,253295,2365457
293,253291,2365444
263,253289,2365436
233,253288,2365429
201,253287,2365421
171,253286,2365414
142,253285,2365406
87,253284,2365392
0,253281,2365367
-2,253281,2365367
-92,253277,2365339
-180,253270,2365311
-204,253268,2365303
-244,253264,2365290
-274,253262,2365279
-324,253260,2365262
-408,253257,2365231
-521,253255,2365185
-638,253253,2365136
-753,253252,2365089
-871,253251,2365041
-986,253249,2364995
-1000,253249,2364989
-1099,253247,2364949
-1218,253246,2364900
-1301,253244,2364865
-1415,253243,2364819
-1542,253241,2364768
-1777,253238,2364674
-1896,253237,2364627
-2000,253234,2364588
-2023,253234,2364579
-2143,253229,2364533
-2262,253225,2364488
-2355,253221,2364453
-2473,253216,2364408
-2592,253212,2364361
-2650,253209,2364336
-2704,253206,2364313
-2762,253203,2364287
-2845,253199,2364251
-2850,253198,2364249
-2938,253193,2364211
-3000,253190,2364183
-3025,253188,2364173
-3109,253183,2364137
-3198,253177,2364100
-3286,253171,2364064
-3382,253164,2364026
-3464,253158,2363994
-3552,253152,2363959
-3669,253143,2363913
-3728,253138,2363889
-3768,253135,2363874
-3885,253124,2363827
-4000,253113,2363780
-4001,253113,2363780
-4124,253101,2363727
-4209,253092,2363688
-4244,253088,2363672
-4289,253082,2363651
-4376,253071,2363611
-4465,253060,2363569
-4551,253050,2363530
-4740,253027,2363447
-4811,253019,2363416
-4899,253009,2363380
-5000,252998,2363338
-5047,252993,2363320
-5253,252971,2363237
-5391,252956,2363181
-5649,252927,2363073
-5726,252919,2363041
-5841,252904,2362987
-5948,252890,2362935
-6000,252884,2362910
-6007,252883,2362907
-6121,252869,2362855
-6208,252859,2362817
-6295,252848,2362779
