Point,Northing,Easting,Elev_ft,Temp,Type
1,256680,2354208,4316,0,Production
2,256681,2354207,3178,0,Production
3,256681,2354206,3110,0,Production
4,256681,2354205,3085,0,Production
5,256680,2354204,3000,410,Production
6,256679,2354204,2899,0,Production
7,256678,2354204,2880,0,Production
8,256677,2354204,2806,0,Production
9,256673,2354204,2715,0,Production
10,256669,2354203,2620,0,Production
11,256666,2354202,2527,0,Production
12,256665,2354201,2498,0,Production
13,256663,2354199,2434,0,Production
14,256659,2354197,2345,0,Production
15,256656,2354194,2249,0,Production
16,256652,2354191,2149,0,Production
17,256648,2354189,2063,0,Production
18,256644,2354188,2000,458,Production
19,256642,2354187,1970,0,Production
20,256640,2354187,1941,0,Production
21,256636,2354186,1877,0,Production
22,256634,2354186,1846,0,Production
23,256630,2354185,1784,0,Production
24,256625,2354183,1692,0,Production
25,256620,2354182,1599,0,Production
26,256614,2354179,1506,0,Production
27,256609,2354177,1413,0,Production
28,256607,2354176,1387,0,Production
29,256606,2354175,1367,0,Production
30,256605,2354175,1347,0,Production
31,256600,2354172,1247,0,Production
32,256595,2354166,1148,0,Production
33,256592,2354157,1048,0,Production
34,256591,2354152,1005,0,Production
35,256591,2354151,1000,474,Production
36,256590,2354145,949,0,Production
37,256590,2354140,904,0,Production
38,256590,2354139,899,0,Production
39,256590,2354137,883,0,Production
40,256590,2354132,850,0,Production
41,256590,2354103,651,0,Production
42,256589,2354101,639,0,Production
43,256589,2354088,548,0,Production
44,256589,2354061,355,0,Production
45,256588,2354020,0,424,Production
